nrCrt,Denumire agent economic,cod unic de inregistrare
1,A&B GALANTUS SRL,RO29840774
2,A&D SIBCOM S.R.L.,RO30962597
3,A.M.A. FUCIU SRL,28597201
4,AAD MARA CONSULTING SRL,RO28557096
5,ABC MARKET SRL,RO3177598
6,ABSTRACT MOB,RO26667335
7,ACG KLEOPATRA SRL,36052795
8,ACHIZITIE SI DEZVOLTARE SRL,RO3524999
9,ACON FINANCE SOLUTIONS SRL,RO30353845
10,Actimir2010,RO27726219
11,ACTIV DITAL,27730856
12,Activ Mert Srl,RO17904785
13,Adco,1138525
14,Adcom,RO1108265
15,ADE-MICO MIXT SRL,36628716
16,ADELINA BAR COM SRL,7466092
17,ADI FOTO&VIDEO SRL,35444154
18,ADIANG IMPEX SRL,RO359994
19,ADILI COMIMPEX  SRL,RO7291187
20,ADIVIO  COMSERV SRL,RO0509412
21,ADRALEX SRL,RO6128131
22,ADY NOA COM SRL,RO6319328
23,ADY&ELENA 2004 IMPEX SRL,16689476
24,AFACERI CREATIVE-FRESH BOX SRL,38165332
25,AGAFITEI  ELENA  INTREPRINDERE INDIVIDUALA,RO30485552
26,AGIL MARKET SRL,RO28782691
27,Agrevo Speed Com S.R.L,RO7681082
28,AGRIGOROAEI M. PETRU INTREPRINDERE INDIVIDUALA,40891957
29,AGRITOMAR,6652720
30,AGRO ROPAN IMPEX,RO24021523
31,AGRO- TRANS- SERVICE S.R.L.,RO534467
32,Agro-toni,1120145
33,AGROALEX COM SRL,RO18466993
34,Agrola Com srl,RO17698138
35,AGROMEC UNIREA SRL,RO8174037
36,AGROPAN PRODCOM SRL,RO203960
37,Aha Works SRL,RO34318654
38,AL BIG IMPORT EXPORT S.R.L.,RO6278678
39,ALBINA IMPEX SRL,RO1654976
40,Albu Ana,RO15855473
41,ALBU ION FLORENTINA,15953501
42,ALCALIS IMP-EXP SRL,RO15154199
43,Aldea Trans,5938164
44,aldi-vad,RO12123015
45,Aletta com. Srl,RO5766638
46,ALEX TOP EXCLUSIV SRL,38485060
47,ALEX&DANIEL OPRESCU SRL,33649765
48,ALEXANDRU VIORICA INTREPRINDERE FAMILIIALA,10059765
49,Alexandru.N. Claudia Izabela PFA,40821250
50,ALEXION SRL,RO15194592
51,ALFA-COM SRL,RO17055221
52,ALHORA OIL,RO35142075
53,ALIMENTARA SA,RO908804
54,AlimentaÈie PublicÄ Mola,6605680
55,ALIMIR COM SRL,9860955
56,ALINA PRODCOM IMPEX SRL,RO6944784
57,ALINEI AURELIA PERSOANA FIZICA AUTORIZATA,RO21367302
58,ALIPAN TUR SRL,RO21604263
59,ALIVAS IMPEX SRL,RO9180495
60,all foods distributie srl,RO26389255
61,Almaco Station SRL,RO32712651
62,ALMUH SRL,28016457
63,ALMUHISAM SRL,34310057
64,ALPHA INTERTRADE SRL,RO6745544
65,ALPROD COM SRL,RO24269937
66,ALROCO IMPEX SRL,RO10099565
67,ALTHEEA S.R.L.,RO14839160
68,ALUDIA SELL SRL,RO30529829
69,ALYS-CLAUS SRL,RO29762374
70,AM & MT JUNIOR SRL,RO36568002
71,AMBY HAPPY MARKET SRL,RO32234395
72,Amedeea store srl,RO32619715
73,AMICII SRL,RO7010249
74,AMIGO & INTERCOST SRL,RO13131768
75,AMIMAR SRL,15152961
76,AMOREL SRL,RO2369935
77,Amuza Comimpex SRL,RO9323005
78,ANA MARIA FASHION SRL,RO35439000
79,ANALARISA COM SERV SRL,RO9105574
80,ANCASEB COM,RO18575427
81,ANDALUCIA FRUCT IMPEX SRL,RO17882202
82,ANDRA TOTAL 2001 S.R.L.,RO15293979
83,ANDRA'S CREAM CONF SRL,RO18316910
84,ANDRAS J JANOS INTREPRINDERE INDIVIDUALA,RO28064543
85,ANDREAS MARKET CENTER SRL,40777627
86,andrei & andreas lerm srl,RO13310038
87,ANDREI G E IOANA II,29307926
88,ANDRONE GEORGE IF,RO3970240
89,Anemar,RO4078363
90,ANGHELACHE PROFIRA ÃNTREPRINDERE INDIVIDUALÄ,33060599
91,ANIBAS EXIM SRL,RO8804469
92,Anica Serv SRL,RO8917433
93,ANIN COM,RO4953468
94,ANIOMA SRL,24604527
95,ANISANDA SUHURMAG S.R.L.,RO39603260
96,ANNA MARKET IDEAL SRL,RO30790726
97,ANSO,RO1645889
98,ANTON MIXT SRL,RO7278471
99,ANTONIA EXPEDITION SRL,RO27284184
100,Antria Technologies SRL,RO38678567
101,APOLLO SRL,RO2060610
102,APOSTROF COM SERV,RO10248462
103,AQUADAG BLUE SRL - D,39834540
104,AQUILA PART PROD COM SRL,RO6484554
105,ARBISAV 42 SRL,39839912
106,ARCA PRESS SRL,RO6620389
107,Arcomretail,RO39011137
108,ARDSIM IMPEX S.R.L.,RO5587730
109,ARIESUL SA,RO1767649
110,ARIMEX SRL,RO3005797
111,ARIMTARM SRL,RO30988287
112,ARMIE MÄDÄLINA-ALINA,40151762
113,ARZE-MED INVEST SRL,RO26786590
114,AS99 SRL,RO786820
115,ASERGREN SRL,RO10027208
116,ASIMED IMPEX SRL,RO5931085
117,ASTORIA S.R.L.,RO1801554
118,Atis Com SRL,RO7066789
119,ATLAS GEA 2012 SRL,RO30359104
120,ATTY & ZSOMBI SRL,40176996
121,AUCHAN ROMANIA SA,RO17233051
122,AUF DEN MARKT SRL,RO38899517
123,AURA 2001 SRL,RO1158646
124,Auras marina supermarket,RO20603669
125,Auster Impex Srl,7775047
126,AUTO IMPEX PRIMA S.R.L.,RO182239
127,AUTO-LUKGSM SRL,32712686
128,Automotive Paint,RO28476307
129,AVAP-COM TRANS SRL,RO15765567
130,AVRAM HEORGHE,RO9710702
131,Ayucca sam srl,RO4711
132,Azzuro,RO23992820
133,Azzuro,23992820
134,B & P LIQUID FUEL SRL,RO36664549
135,B.S. TOP ACTIV SRL,35149685
136,BABA D VIRGIL INTREPRINDERE INDIVIDUALA,32224502
137,BABY STAR COM-IMPEX SRL,RO3814038
138,Baciu P Ionut,36090420
139,BACULA GH.DUMITRU INTREPRINDERE INDIVIDUALA,28458840
140,"BAICAN C. ION""COMERT CU PRODUSE DIVERSE"" ÃNTREPRINDERE INDIVIDUALA",26704719
141,Balan Conimpex,4728709
142,BÄlan Elena,RO2074764
143,BALASA ADI SI MIHAI SRL,RO15110664
144,BALAZS I ROZALIA II,31369076
145,BALICA CLAUDIA,34151393
146,BALOG A ELISABETA PFA,19565960
147,BALOGH SNC,711208
148,BALSINABA SRL,39739620
149,BANCOS G. CORNELIA P.F.A.,29811663
150,Banu company. Srl,RO25128111
151,BAR EXIM SRL,RO16104873
152,BARA I GEORGETA COMERT CU PRODUSE ALIMENTARE INTREPRINDERE INDIVIDUALA,26546643
153,BARLEA VIOLEA INTREP FAMILIARA,RO18124397
154,BATINAS ELISABETA INTREPRINDERE INDIVIDUALA,27316090
155,BAZAR PRODUCTION SRL,RO16145571
156,BDP INVEST SRL,RO26662354
157,BECA SRL,RO569554
158,Beemgiuliam SRL-D,RO35468781
159,Bejenaru Elena Ã®ntreprindere individualÄ,16288253
160,Bekmar Market Srl,RO32180465
161,Belcin Tincuta,RO6393251
162,Bella.Piter S.R.L,39896217
163,BELLE ANA MARIA COSMETICS SRL,RO15834730
164,BELOFRUCT SRL,RO15867885
165,BENC I MARIOARA II,17324451
166,BENSTAR  SERVICE SRL,RO26745689
167,BERBEC IMPEX SRL,RO14318129
168,BEREZKA STORES SRL,RO33635883
169,BEST SOL HORECA SRL,RO32664910
